#{"t_start": 1709584918.2221575, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,12.192805
-15.0,15,12.19504
-13.0,13,12.197069
-13.0,13,12.199064
-13.0,13,12.200889
-14.0,14,12.334467
-13.0,13,12.336839
-13.0,13,12.338721
-13.0,13,12.340658
-13.0,13,12.342637
-13.0,13,12.345011
-15.0,15,12.34715
-116.0,17,12.349885
-13.0,13,12.351675
-13.0,13,12.353892
-13.0,13,12.355684
-13.0,13,12.357399
-17.0,17,12.359828
-15.0,15,12.362092
-13.0,13,12.364264
-13.0,13,12.366176
-13.0,13,12.368103
-13.0,13,12.370448
-13.0,13,12.372374
-14.0,14,12.506609
-13.0,13,12.508746
-13.0,13,12.510911
-13.0,13,12.512823
-13.0,13,12.514772
-15.0,15,12.517049
-13.0,13,12.519248
-15.0,15,12.521695
-13.0,13,12.523772
-15.0,15,12.526163
-13.0,13,12.528167
-15.0,15,12.530162
-13.0,13,12.532402
-124.0,25,12.536036
-13.0,13,12.538279
-13.0,13,12.540384
-13.0,13,12.542415
-15.0,15,12.673988
-13.0,13,12.676419
-16.0,16,12.678568
-13.0,13,12.680814
-13.0,13,12.682771
-13.0,13,12.684878
-15.0,15,12.687306
-13.0,13,12.689326
-15.0,15,12.691679
-15.0,15,12.694069
-13.0,13,12.69597
-15.0,15,12.698302
-13.0,13,12.700194
-13.0,13,12.702733
-15.0,15,12.704988
-15.0,15,12.707495
-13.0,13,12.709444
-120.0,21,12.712578
-113.0,14,12.84291
-13.0,13,12.845119
-13.0,13,12.847091
-117.0,18,12.850066
-13.0,13,12.852064
-13.0,13,12.854102
-13.0,13,12.856293
-15.0,15,12.858658
-15.0,15,12.861018
-120.0,21,12.864164
-13.0,13,12.866118
-14.0,14,12.868357
-13.0,13,12.870606
-13.0,13,12.872602
-13.0,13,12.874622
-15.0,15,12.877125
-16.0,16,12.879353
-13.0,13,12.881575
-13.0,13,13.027936
-14.0,14,13.030488
-15.0,15,13.03361
-13.0,13,13.037309
-13.0,13,13.041265
-15.0,15,13.044334
-13.0,13,13.047173
-13.0,13,13.049677
-15.0,15,13.051962
-13.0,13,13.054376
-13.0,13,13.056769
-15.0,15,13.059167
-13.0,13,13.061528
-13.0,13,13.063875
-13.0,13,13.065978
-15.0,15,13.068497
-15.0,15,13.070847
-13.0,13,13.073227
